S.No.;Address;City;State;Postcode;Country
1;100 S BROADWAY;SLEEPY HOLLOW;NY;10591;USA
2;102 GROVE ST;SLEEPY HOLLOW;NY;10591;USA
3;119 GUNPOWDER LN;TARRYTOWN;NY;10591;USA
5;123 MIDLAND ABC123;TARRYTOWN;NY;10591;USA
8;37 DOWNING DR S;TARRYTOWN;NY;10591;USA
17;35 STUART WAY TARRYTOWN NY 10591;;;;USA
30;277 CLELAND LN  BAXLEY GA;;;;USA
31;2502 N ROCKY POINT DR;Tampa;FL;33607;USA
33;RR 1 Box 249 15823;;;;USA
35;Route 1 Box 104A;Golconda;IL;62938;USA
45;501 N ORLANDO AVE STE 313145;WINTER PARK;FL;32789;USA
